code,de,en
062,Ehrungen und Auszeichnungen,Awards and distinctions
063,Städtekontakte und Partnerschaften,City contacts and partnerships
064,nicht definiert,not defined
065,nicht definiert,not defined
066,nicht definiert,not defined
067,nicht definiert,not defined
068,nicht definiert,not defined
069,Förderungen anderer Rechtsträger,Sponsorship of other legal entities
070,Verfügungsmittel,Discretionary funds
071,nicht definiert,not defined
072,nicht definiert,not defined
073,nicht definiert,not defined
074,nicht definiert,not defined
075,nicht definiert,not defined
076,nicht definiert,not defined
077,nicht definiert,not defined
078,nicht definiert,not defined
079,nicht definiert,not defined
080,Pensionen (soweit nicht aufgeteilt),Pensions (if not apportioned)
081,nicht definiert,not defined
082,nicht definiert,not defined
083,nicht definiert,not defined
084,nicht definiert,not defined
085,nicht definiert,not defined
086,nicht definiert,not defined
087,nicht definiert,not defined
088,nicht definiert,not defined
089,nicht definiert,not defined
090,Bezugsvorschüsse und Darlehen,Advances in pay and loans
091,Personalausbildung und Personalfortbildung,Staff training and continued training
092,nicht definiert,not defined
093,nicht definiert,not defined
094,Gemeinschaftspflege,Promotion of fellowship
095,nicht definiert,not defined
096,nicht definiert,not defined
097,nicht definiert,not defined
098,nicht definiert,not defined
099,Sonstige Einrichtungen und Maßnahmen,Other establishments and measures
100,Gesonderte Verwaltung,Separate administration
101,nicht definiert,not defined
102,nicht definiert,not defined
103,nicht definiert,not defined
104,nicht definiert,not defined
105,nicht definiert,not defined
106,nicht definiert,not defined
107,nicht definiert,not defined
108,nicht definiert,not defined
109,nicht definiert,not defined
110,Sicherung der Behördenkommunikation,Ensuring authority communication
111,nicht definiert,not defined
112,nicht definiert,not defined
113,nicht definiert,not defined
114,nicht definiert,not defined
115,nicht definiert,not defined
116,nicht definiert,not defined
117,nicht definiert,not defined
118,nicht definiert,not defined
119,Öffentliche Ordnung - Sonstige Einrichtungen und Maßnahmen,Public order - Other institutions and measures
120,Allgemeine Angelegenheiten,General affairs
121,nicht definiert,not defined
122,nicht definiert,not defined
123,nicht definiert,not defined
124,nicht definiert,not defined
125,nicht definiert,not defined
126,nicht definiert,not defined
127,nicht definiert,not defined
128,nicht definiert,not defined
129,Sicherheitspolizei - Sonstige Einrichtungen und Maßnahmen,Security police - Other institutions and measures
130,"Gewerbe-, Markt- und Lebensmittelpolizei","Trade, market and food police"
131,Bau- und Feuerpolizei,Building inspection and fire authority department
132,Gesundheitspolizei,Sanitary police
133,Veterinärpolizei,Veterinary police
134,Flurpolizei,Field and farmland police (Flurpolizei)
135,nicht definiert,not defined
136,nicht definiert,not defined
137,nicht definiert,not defined
138,nicht definiert,not defined
139,Sonderpolizei - Sonstige Einrichtungen und Maßnahmen,Special police - Other institutions and measures
140,nicht definiert,not defined
141,nicht definiert,not defined
142,nicht definiert,not defined
143,nicht definiert,not defined
144,nicht definiert,not defined
145,nicht definiert,not defined
146,nicht definiert,not defined
147,nicht definiert,not defined
148,nicht definiert,not defined
149,nicht definiert,not defined
150,nicht definiert,not defined
151,nicht definiert,not defined
152,nicht definiert,not defined
153,nicht definiert,not defined
154,nicht definiert,not defined
155,nicht definiert,not defined
156,nicht definiert,not defined
157,nicht definiert,not defined
158,nicht definiert,not defined
159,nicht definiert,not defined
160,Feuerwehrinspektorat,Fire inspectorate
161,Feuerwehrschulen,Fire academies
162,Berufsfeuerwehren,Professional fire brigades
163,Freiwillige Feuerwehren,Volunteer fire departments
164,Förderungen der Brandbekämpfung und Brandverhütung,Promotion of firefighting and fire prevention
165,nicht definiert,not defined
166,nicht definiert,not defined
167,nicht definiert,not defined
168,nicht definiert,not defined
169,Feuerwehrwesen - Sonstige Einrichtungen und Maßnahmen,Fire service - Other institutions and measures
170,Allgemeine Angelegenheiten,General affairs
171,nicht definiert,not defined
172,nicht definiert,not defined
173,nicht definiert,not defined
174,nicht definiert,not defined
175,nicht definiert,not defined
176,nicht definiert,not defined
177,nicht definiert,not defined
178,nicht definiert,not defined
179,Katastrophendienst - Sonstige Einrichtungen und Maßnahmen,Disaster relief service - Other institutions and measures
180,Zivilschutz,Civil protection
181,nicht definiert,not defined
182,nicht definiert,not defined
183,nicht definiert,not defined
184,nicht definiert,not defined
185,nicht definiert,not defined
186,nicht definiert,not defined
187,nicht definiert,not defined
188,nicht definiert,not defined
189,Landesverteidigung - Sonstige Einrichtungen und Maßnahmen,National defence - Other institutions and measures
190,nicht definiert,not defined
191,nicht definiert,not defined
192,nicht definiert,not defined
193,nicht definiert,not defined
194,nicht definiert,not defined
195,nicht definiert,not defined
196,nicht definiert,not defined
197,nicht definiert,not defined
198,nicht definiert,not defined
199,nicht definiert,not defined
200,Schulamt,School office
201,nicht definiert,not defined
202,Sportamt,Sports office
203,nicht definiert,not defined
204,nicht definiert,not defined
205,Schulaufsicht,School authorities
206,Qualifikations- und Disziplinarkommissionen der Landeslehrer,Qualification and disciplinary commission of teachers employed by the province
207,Personalvertretung der Landeslehrer,Staff representation of teachers employed by the province
208,Pensionen der Landeslehrer,Pensions of teachers employed by the province
209,Gesonderte Verwaltung - Sonstige Einrichtungen und Maßnahmen,Separate administration - Other institutions and measures
210,"Allgemeinbildende Pflichtschulen, gemeinsame Kosten","General education compulsory schools, shared costs"
211,Volksschulen,Primary schools
212,Hauptschulen (Neue Mittelschule),Lower secondary schools (Neue Mittelschule)
213,Sonderschulen,Special-needs schools
214,Polytechnische Schulen,Pre-vocational schools
215,Allgemeinbildende höhere Schulen,General secondary schools (AHS)
216,nicht definiert,not defined
217,nicht definiert,not defined
218,nicht definiert,not defined
219,Allgemeinbildender Unterricht - Sonstige Einrichtungen und Maßnahmen,General education schooling - Other institutions and measures
220,Berufsbildende Pflichtschulen,Vocational compulsory schools
221,Berufsbildende mittlere Schulen,Vocational secondary schools (BMS)
222,Berufsbildende höhere Schulen,Vocational colleges (BHS)
223,Akademien für Sozialarbeit,Social work colleges
224,Bildungsanstalten für Kindergartenpädagogik,Training schools for kindergarten teachers
225,Bildungsanstalten für Sozialpädagogik,Training schools for educators
226,Berufspädagogische Akademien,Vocational teacher training colleges
227,Pädagogische Akademien und Institute,Teacher training colleges and institutes
228,Berufsausbildung schulentlassener Jugendlicher,Vocational training for school leavers
229,"Berufsbildender Unterricht, Anstalten der Lehrer- und Erzieherbildung - Sonstige Einrichtungen und Maßnahmen","Vocational education schooling, teacher training establishments - Other institutions and measures"
230,Förderung des Schulbetriebes,School operation support
231,Förderung der Lehrerschaft,Faculty support
232,Schülerbetreuung,Student support
233,nicht definiert,not defined
234,nicht definiert,not defined
235,nicht definiert,not defined
236,nicht definiert,not defined
237,nicht definiert,not defined
238,nicht definiert,not defined
239,Förderung des Unterrichts - Sonstige Einrichtungen und Maßnahmen,Promoting schooling - Other institutions and measures
240,Kindergärten,Kindergartens
241,Förderung der Kindergärtnerinnen,Kindergarten teacher support
242,nicht definiert,not defined
243,nicht definiert,not defined
244,nicht definiert,not defined
245,nicht definiert,not defined
246,nicht definiert,not defined
247,nicht definiert,not defined
248,nicht definiert,not defined
249,Vorschulische Erziehung - Sonstige Einrichtungen und Maßnahmen,Preschool education - Other institutions and measures
250,Schülerhorte,After-school care facilities
251,"Schüler-, Lehrlings- und Gesellenheime","Boarding houses for pupils, apprentices, and journeymen"
252,Jugendherbergen und Jugendheime,Youth hostels and youth centres
253,Jungendverkehrserziehung,Road safety education for young people
254,nicht definiert,not defined
255,nicht definiert,not defined
256,nicht definiert,not defined
257,nicht definiert,not defined
258,nicht definiert,not defined
259,Außerschulische Jugenderziehung - Sonstige Einrichtungen und Maßnahmen,Non-school youth education - Other institutions and measures
260,Landessportorganisation,Provincial sports organisation
261,Sportausbildungsstätten,Sports training centres
262,Sportplätze,Sports grounds
263,Turn- und Sporthallen,Gym and sports halls
264,Eislaufplätze und -hallen,Indoor and outdoor skating rinks
265,Tennisplätze und -hallen,Indoor and outdoor tennis courts
266,Wintersportanlagen,Winter sports facilities
267,nicht definiert,not defined
268,nicht definiert,not defined
269,Sport und außerschulische Leibeserziehung - Sonstige Einrichtungen und Maßnahmen,Sports and non-school physical education - Other institutions and measures
270,Volkshochschulen,Adult learning centres / Volkshochschulen
271,Volksbildungswerke,Adult education centres / Volksbildungswerke
272,Volksbildungsheime,Adult education centres / Volksbildungsheime
273,Volksbüchereien,Public libraries
274,nicht definiert,not defined
275,nicht definiert,not defined
276,nicht definiert,not defined
277,nicht definiert,not defined
278,nicht definiert,not defined
279,Erwachsenenbildung - Sonstige Einrichtungen und Maßnahmen,Adult education - Other institutions and measures
280,Förderung von Universitäten und Hochschulen,Support for universities and colleges
281,Universitäts- und Hochschuleinrichtungen,University and college institutions
282,Studienbeihilfen,Study grants
283,Wissenschaftliche Archive,Science archives
284,Wissenschaftliche Bibliotheken,Science libraries
285,Wissenschaftliche Museen,Science museums
286,Botanische und zoologische Gärten (als wissenschaftliche Einrichtungen),Botanical and zoological gardens (as scientific institutions)
287,Wissenschaftliche Sternwarten,Scientific observatories
288,nicht definiert,not defined
289,Forschung und Wissenschaft - sonstige Einrichtungen und Maßnahmen,Research and science - Other institutions and measures
290,nicht definiert,not defined
291,nicht definiert,not defined
292,nicht definiert,not defined
293,nicht definiert,not defined
294,nicht definiert,not defined
295,nicht definiert,not defined
296,nicht definiert,not defined
297,nicht definiert,not defined
298,nicht definiert,not defined
299,nicht definiert,not defined
300,Kulturamt,Department for cultural affairs
301,nicht definiert,not defined
302,nicht definiert,not defined
303,nicht definiert,not defined
304,nicht definiert,not defined
305,nicht definiert,not defined
306,nicht definiert,not defined
307,nicht definiert,not defined
308,nicht definiert,not defined
309,nicht definiert,not defined
310,Ausbildung in den bildenden Künsten,Fine arts education
311,Einrichtungen der bildenden Künste,Fine arts institutions
312,Maßnahmen zur Förderung der bildenden Künste,Measures promoting the fine arts
313,nicht definiert,not defined
314,nicht definiert,not defined
315,nicht definiert,not defined
316,nicht definiert,not defined
317,nicht definiert,not defined
318,nicht definiert,not defined
319,Bildende Künste - Sonstige Einrichtungen und Maßnahmen,Fine arts - Other institutions and measures
320,Ausbildung in Musik und darstellender Kunst,Music and performing arts education
321,Einrichtungen in der Musikpflege,Institutions supporting the cultivation of music
322,Maßnahmen zur Förderung der Musikpflege,Measures promoting the cultivation of music
323,Einrichtungen der darstellenden Kunst,Performing arts institutions
324,Maßnahmen zur Förderung der darstellenden Kunst,Measures promoting the performing arts
325,Festspiele,Festivals
326,nicht definiert,not defined
327,nicht definiert,not defined
328,nicht definiert,not defined
329,Musik und darstellende Kunst - Sonstige Einrichtungen und Maßnahmen,Music and fine arts - Other institutions and measures
330,Förderung von Schrifttum (Literatur) und Sprache,Promotion of literature and language
331,nicht definiert,not defined
332,nicht definiert,not defined
333,nicht definiert,not defined
334,nicht definiert,not defined
335,nicht definiert,not defined
336,nicht definiert,not defined
337,nicht definiert,not defined
338,nicht definiert,not defined
339,nicht definiert,not defined
340,Museen,Museums
341,Sonstige Sammlungen,Other collections
342,nicht definiert,not defined
343,nicht definiert,not defined
344,nicht definiert,not defined
345,nicht definiert,not defined
346,nicht definiert,not defined
347,nicht definiert,not defined
348,nicht definiert,not defined
349,nicht definiert,not defined
350,Einrichtungen zur Kunstpflege,Institutions for the cultivation of the arts
351,Maßnahmen zur Kunstpflege,Art cultivation measures
352,nicht definiert,not defined
353,nicht definiert,not defined
354,nicht definiert,not defined
355,nicht definiert,not defined
356,nicht definiert,not defined
357,nicht definiert,not defined
358,nicht definiert,not defined
359,nicht definiert,not defined
360,Heimatmuseen,Museums of local history
361,Nichtwissenschaftliche Archive,Non-science archives
362,Denkmalpflege,Preservation of monuments
363,Altstadterhaltung und Ortsbildpflege,Old town preservation and preservation of the character and appearance of towns and villages
364,nicht definiert,not defined
365,nicht definiert,not defined
366,nicht definiert,not defined
367,nicht definiert,not defined
368,nicht definiert,not defined
369,Heimatpflege - Sonstige Einrichtungen und Maßnahmen,Promotion of local heritage - Other institutions and measures
370,Förderung von Rundfunk und Fernsehen,Promotion of radio and TV
371,Förderung von Presse und Film,Promotion of press and cinema
372,nicht definiert,not defined
373,nicht definiert,not defined
374,nicht definiert,not defined
375,nicht definiert,not defined
376,nicht definiert,not defined
377,nicht definiert,not defined
378,nicht definiert,not defined
379,"Rundfunk, Presse und Film - Sonstige Einrichtungen und Maßnahmen","Radio, press and cinema - Other institutions and measures"
380,Einrichtungen der Kulturpflege,Cultural heritage preservation institutions
381,Maßnahmen der Kulturpflege,Cultural heritage preservation measures
382,nicht definiert,not defined
383,nicht definiert,not defined
384,nicht definiert,not defined
385,nicht definiert,not defined
386,nicht definiert,not defined
387,nicht definiert,not defined
388,nicht definiert,not defined
389,nicht definiert,not defined
390,Kirchliche Angelegenheiten,Church affairs
391,nicht definiert,not defined
392,nicht definiert,not defined
393,nicht definiert,not defined
394,nicht definiert,not defined
395,nicht definiert,not defined
396,nicht definiert,not defined
397,nicht definiert,not defined
398,nicht definiert,not defined
399,nicht definiert,not defined
400,Sozialamt,Social welfare office
401,Jugendamt,Youth welfare office
402,nicht definiert,not defined
403,nicht definiert,not defined
404,nicht definiert,not defined
405,nicht definiert,not defined
406,nicht definiert,not defined
407,nicht definiert,not defined
408,nicht definiert,not defined
409,nicht definiert,not defined
410,Einrichtungen der allgemeinen Sozialhilfe,Institutions of general social welfare
411,Maßnahmen der allgemeinen Sozialhilfe,General social welfare measures
412,Einrichtungen der Blindenhilfe,Aid facilities for the blind
413,Maßnahmen der Behindertenhilfe,Measures for the benefit of the disabled
414,Einrichtungen der Behindertenhilfe,Aid facilities for the disabled
415,Maßnahmen der Blindenhilfe (soweit nicht bei 413),Measures for the benefit of the blind (unless under 413)
416,Hilfen für Kriegsopfer und Geschädigte nach dem Opferfürsorgegesetz,Aid for the victims of war and aggrieved parties under the Victims Welfare Act
417,Pflegesicherung,Care allowance security
418,nicht definiert,not defined
419,Allgemeine öffentliche Wohlfahrt - Sonstige Einrichtungen und Maßnahmen,General public welfare - Other institutions and measures
420,Altenheime,Old people's homes
421,Pflegeheime,Nursing homes
422,Tagesheimstätten,Day-care centres
423,Essen auf Rädern,Meals on wheels
424,Heimhilfe,Home help
425,Entwicklungshilfe im Ausland,Overseas development aid
426,Flüchtlingshilfe,Refugee aid
427,nicht definiert,not defined
428,nicht definiert,not defined
429,Freie Wohlfahrt - Sonstige Einrichtungen und Maßnahmen,Non-statutory welfare - Other institutions and measures
430,Säuglingsheime,Homes for babies
431,Kinderheime,Children's homes
432,Kindererholungsheime,Children's rest homes
433,nicht definiert,not defined
434,nicht definiert,not defined
435,Erziehungsheime,Juvenile homes
436,nicht definiert,not defined
437,nicht definiert,not defined
438,nicht definiert,not defined
439,Jugendwohlfahrt - Sonstige Einrichtungen und Maßnahmen,Youth welfare - Other institutions and measures
440,Einrichtungen,Establishments
441,Maßnahmen,Measures
442,nicht definiert,not defined
443,nicht definiert,not defined
444,nicht definiert,not defined
445,nicht definiert,not defined
446,nicht definiert,not defined
447,nicht definiert,not defined
448,nicht definiert,not defined
449,nicht definiert,not defined
450,Ausgleichszulagen,Compensatory allowances
451,Altersvorsorge,Old-age provision
452,nicht definiert,not defined
453,nicht definiert,not defined
454,nicht definiert,not defined
455,nicht definiert,not defined
456,nicht definiert,not defined
457,nicht definiert,not defined
458,nicht definiert,not defined
459,Sonstige Maßnahmen,Other measures
460,Familienlastenausgleich,Family burden equalisation
461,Hausstandsgründung,Establishment of a household
462,Unterbringung kinderreicher Familien,Accommodation of large families
463,nicht definiert,not defined
464,nicht definiert,not defined
465,nicht definiert,not defined
466,nicht definiert,not defined
467,nicht definiert,not defined
468,nicht definiert,not defined
469,Sonstige Maßnahmen,Other measures
470,nicht definiert,not defined
471,nicht definiert,not defined
472,nicht definiert,not defined
473,nicht definiert,not defined
474,nicht definiert,not defined
475,nicht definiert,not defined
476,nicht definiert,not defined
477,nicht definiert,not defined
478,nicht definiert,not defined
479,nicht definiert,not defined
480,Allgemeine Wohnbauförderung,General housing promotion
481,Landes-Wohnbau-Sonderprogramme,Provincial special housing programmes
482,Wohnbauförderung,Housing promotion
483,Förderung der Wohnhaussanierung,Building rehabilitation support
484,Förderung der Althaussanierung,Historical building restoration support
485,Bundes-Sonderwohnbaugesetze,Federal special housing acts
486,nicht definiert,not defined
487,nicht definiert,not defined
488,nicht definiert,not defined
489,Wohnbauförderung - Sonstige Maßnahmen,Housing promotion - Other measures
490,nicht definiert,not defined
491,nicht definiert,not defined
492,nicht definiert,not defined
493,nicht definiert,not defined
494,nicht definiert,not defined
495,nicht definiert,not defined
496,nicht definiert,not defined
497,nicht definiert,not defined
498,nicht definiert,not defined
499,nicht definiert,not defined
500,Gesundheitsamt,Health department
501,Umweltschutzamt,Environmental protection agency
502,nicht definiert,not defined
503,nicht definiert,not defined
504,nicht definiert,not defined
505,nicht definiert,not defined
506,nicht definiert,not defined
507,nicht definiert,not defined
508,nicht definiert,not defined
509,nicht definiert,not defined
510,Medizinische Bereichsversorgung,Regional medical care
511,Familienberatung,Family counselling
512,Sonstige medizinische Beratung und Betreuung,Other medical counselling and care
513,Desinfektionsanstalten,Disinfection institutions
514,Röntgenzug,Mobile X-ray unit
515,Zahnstationen,Dental stations
516,Schulgesundheitsdienst,School health service
517,nicht definiert,not defined
518,nicht definiert,not defined
519,Gesundheitsdienst - Sonstige Einrichtungen und Maßnahmen,Health service - Other institutions and measures
520,Natur- und Landschaftsschutz,Nature and landscape protection
521,Reinhaltung der Gewässer,Water pollution control
522,Reinhaltung der Luft,Air pollution control
523,Lärmbekämpfung,Noise control
524,Strahlenschutz,Radiation protection
525,nicht definiert,not defined
526,nicht definiert,not defined
527,Müllbeseitigung,Waste disposal
528,Tierkörperbeseitigung,Animal carcass disposal
529,Umweltschutz - Sonstige Einrichtungen und Maßnahmen,Environmental protection - Other institutions and measures
530,Rettungsdienste,Rescue services
531,Warndienste,Warning services
532,nicht definiert,not defined
533,nicht definiert,not defined
534,nicht definiert,not defined
535,nicht definiert,not defined
536,nicht definiert,not defined
537,nicht definiert,not defined
538,nicht definiert,not defined
539,Rettungs- und Warndienste - Sonstige Einrichtungen und Maßnahmen,Warning and rescue services - Other institutions and measures
540,Ärztliche Dienste,Medical services
541,Hebammendienste,Midwife services
542,Krankenpflegefachdienste,Professional nursing services
543,Medizinisch-technische Dienste,Medical technical services
544,Sanitätshilfsdienst,Paramedic service
545,nicht definiert,not defined
546,nicht definiert,not defined
547,nicht definiert,not defined
548,nicht definiert,not defined
549,Ausbildung und Gesundheit - Sonstige Gesundheitsdienste,Training and health - Other health services
550,Zentralkrankenanstalten,Central hospitals
551,Schwerpunktkrankenanstalten,Specialised hospitals
552,Standardkrankenanstalten,Standard hospitals
553,Sonderkrankenanstalten,Special hospitals
554,Heime für Genesende,Convalescent homes
555,Pflegeanstalten für chronisch Kranke,Nursing homes for the chronically ill
556,Entbindungsanstalten und Sanatorien,Maternity hospitals and sanatoriums
557,Zuschüsse zum Betriebsabgang von Krankenanstalten,Grants for operational hospital deficits
558,Selbstständige Ambulatorien,Independent outpatient clinics
559,Eigene Krankenanstalten - Sonstige Einrichtungen und Maßnahmen,Own hospitals - Other institutions and measures
560,Betriebsabgangsdeckung,Operational deficit cover
561,Errichtung und Ausgestaltung,Construction and design
562,Sprengelbeiträge,Administrative district contributions
563,nicht definiert,not defined
564,nicht definiert,not defined
565,nicht definiert,not defined
566,nicht definiert,not defined
567,nicht definiert,not defined
568,nicht definiert,not defined
569,Krankenanstalten anderer Rechtsträger - Sonstige Maßnahmen,Hospitals of other legal entities - Other measures
570,Kurfonds,Spa treatment fund
571,nicht definiert,not defined
572,nicht definiert,not defined
573,nicht definiert,not defined
574,nicht definiert,not defined
575,nicht definiert,not defined
576,nicht definiert,not defined
577,nicht definiert,not defined
578,nicht definiert,not defined
579,Heilvorkommen und Kurorte - Sonstige Einrichtungen und Maßnahmen,Natural healing resources and health resorts - Other institutions and measures
580,Einrichtungen der Veterinärmedizin,Veterinary medicine institutions
581,Maßnahmen der Veterinärmedizin,Veterinary medicine measures
582,nicht definiert,not defined
583,nicht definiert,not defined
584,nicht definiert,not defined
585,nicht definiert,not defined
586,nicht definiert,not defined
587,nicht definiert,not defined
588,nicht definiert,not defined
589,nicht definiert,not defined
590,Krankenanstaltenfonds,Hospital funds
591,nicht definiert,not defined
592,nicht definiert,not defined
593,nicht definiert,not defined
594,nicht definiert,not defined
595,nicht definiert,not defined
